RA,DEC,AKR_ID,HSC_ID,Gm,Gme,Rm,Rme,Im,Ime,Zm,Zme,Ym,Yme,N2m,N2me,N3m,N3me,N4m,N4me,S7m,S7me,S9m,S9me,S11m,S11me,L15m,L15me,L18m,L18me,L24m,L24me,sum_y,y_pred
268.7716064,67.1181793,46781,80093516503475446,23.977,0.006999999999999999,23.171,0.008,22.512,0.011,21.833,0.01,21.523000000000003,0.014,20.178,0.097,19.61,0.064,19.49,0.056,,,,,,,17.947,0.13,17.824,0.112,,,11,1
268.6766357,67.14318850000001,47019,80093516503475451,23.936,0.009000000000000001,23.152,0.01,22.267,0.012,21.72,0.013,21.286,0.015,19.896,0.084,19.736,0.062,19.235,0.043,,,,,,,18.048,0.126,18.555,0.166,,,19,1
268.28094480000004,67.4680252,118982,80093662532356208,21.142,0.001,20.772,0.001,20.671,0.005,20.607,0.005,20.607,0.006999999999999999,20.483,0.113,20.24,0.077,19.634,0.071,,,18.25,0.121,,,18.302,0.13699999999999998,,,,,21,1
269.7874756,67.0433044,49199,80093104186608363,21.706,0.001,20.92,0.001,20.639,0.002,20.257,0.003,20.267,0.004,19.758,0.069,19.698,0.052000000000000005,19.619,0.051,18.857,0.131,,,,,17.904,0.124,17.852999999999994,0.08900000000000001,,,21,1
269.886322,67.1354675,85265,80093104186625081,23.405,0.005,22.914,0.008,22.50800000000001,0.01,21.866,0.013,21.576,0.015,20.06,0.094,20.01,0.08,19.878,0.085,,,,,,,,,,,,,21,1
267.6225891,66.9808578,39972,80093787086420039,25.725,0.027000000000000003,24.178,0.027000000000000003,23.563,0.026,22.936,0.023,22.657,0.032,19.767,0.064,19.415,0.045,19.07,0.035,,,,,17.889,0.092,,,,,,,14,1
269.8374329,67.6424255,89682,80093117071517898,24.778,0.018000000000000002,23.651,0.024,23.256,0.025,22.796,0.044,22.572,0.051,20.51,0.122,20.514,0.099,20.025,0.085,,,,,,,,,,,,,13,1
269.9334106,67.70612340000001,85773,80093117071524844,21.488000000000003,0.001,21.463,0.003,20.665,0.003,20.435,0.005,20.238,0.006,19.346,0.048,19.28,0.038,19.659,0.047,,,,,,,,,,,,,14,1
269.87945560000003,67.74784090000001,85550,80093117071528901,23.248,0.008,22.685,0.013,22.15,0.014,21.505,0.02,21.406,0.027000000000000003,20.09,0.101,19.8,0.066,19.874,0.063,,,,,,,,,,,,,12,1
269.241333,67.4357224,130382,80093387654447459,21.986,0.002,21.155,0.002,20.768,0.003,20.556,0.006,20.323,0.006999999999999999,20.076,0.068,19.726,0.063,19.656,0.068,,,,,,,18.174,0.14300000000000002,,,,,11,1
267.4261169,67.0508118,38802,80093791381373210,22.961,0.002,22.25,0.005,22.064,0.006999999999999999,21.733,0.006999999999999999,21.501,0.011,20.153,0.11,19.745,0.076,19.47,0.063,18.52,0.112,17.846,0.103,18.856,0.147,,,,,,,21,1
267.6995544,67.0974655,16812,80093791381377813,23.028,0.005,22.59,0.009000000000000001,21.652,0.006999999999999999,21.244,0.009000000000000001,21.194000000000006,0.013,20.467,0.107,20.323,0.09,20.349,0.106,,,,,,,,,,,,,11,1
267.7792969,67.10966490000001,132242,80093791381380078,23.056,0.005,21.917,0.006,20.917,0.004,20.338,0.004,20.116,0.006,18.328,0.029,18.245,0.024,17.997,0.017,17.340999999999998,0.04,16.596,0.038,16.656,0.034,16.266,0.037000000000000005,16.396,0.034,16.208,0.086,11,1
267.7657166,67.1514435,37291,80093791381384039,20.862,0.001,20.721,0.001,20.612,0.002,20.597,0.003,20.321,0.004,20.026,0.066,19.954,0.064,19.989,0.067,18.909,0.127,18.215,0.105,18.428,0.119,17.257,0.095,17.51,0.097,,,21,1
